,st,st_name,st_date,st_place,st_knownfor,st_awards_wins,st_awards_nominations,st_link,st_awards_link
325,Zoe Saldana,Zoe Saldana,6/19/78,"Passaic, New Jersey, USA","['Avatar', 'Guardians of the Galaxy', 'Star Trek', 'Guardians of the Galaxy Vol. 2']",16,60,https://www.imdb.com/name/nm0757855/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0757855/awards?ref_=nm_ql_2
293,Jude Law(I),Jude Law,12/29/72,"Lewisham, London, England, UK","['The Talented Mr. Ripley', 'The Grand Budapest Hotel', 'Sky Captain and the World of Tomorrow', 'Closer']",17,60,https://www.imdb.com/name/nm0000179/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000179/awards?ref_=nm_ql_2
294,Amanda Righetti(I),Amanda Righetti,4/4/83,"St. George, Utah, USA","['Captain America: The First Avenger', 'Friday the 13th', 'The Mentalist', 'Matter']",1,0,https://www.imdb.com/name/nm1119462/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1119462/awards?ref_=nm_ql_2
295,Anna Faris,Anna Faris,11/29/76,"Baltimore, Maryland, USA","['The House Bunny', 'Just Friends', 'Scary Movie 4', 'Brokeback Mountain']",1,22,https://www.imdb.com/name/nm0267506/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0267506/awards?ref_=nm_ql_2
296,Emma Stone(III),Emma Stone,11/6/88,"Scottsdale, Arizona, USA","['La La Land', 'Easy A', 'The Help', 'Birdman or (The Unexpected Virtue of Ignorance)']",68,157,https://www.imdb.com/name/nm1297015/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1297015/awards?ref_=nm_ql_2
297,Zachary Quinto,Zachary Quinto,6/2/77,"Pittsburgh, Pennsylvania, USA","['Star Trek', 'Margin Call', 'Star Trek Beyond', 'Star Trek Into Darkness']",10,24,https://www.imdb.com/name/nm0704270/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0704270/awards?ref_=nm_ql_2
298,Emma Watson(II),Emma Watson,4/15/90,"Paris, France","['The Perks of Being a Wallflower', ""Harry Potter and the Sorcerer's Stone"", 'The Bling Ring', 'Beauty and the Beast']",24,59,https://www.imdb.com/name/nm0914612/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0914612/awards?ref_=nm_ql_2
299,Jamie Foxx,Jamie Foxx,12/13/67,"Terrell, Texas, USA","['Django Unchained', 'Ray', 'Collateral', 'Dreamgirls']",48,80,https://www.imdb.com/name/nm0004937/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0004937/awards?ref_=nm_ql_2
300,Sandra Bullock,Sandra Bullock,7/26/64,"Arlington, Virginia, USA","['The Proposal', 'Miss Congeniality', 'Gravity', 'Speed']",76,112,https://www.imdb.com/name/nm0000113/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000113/awards?ref_=nm_ql_2
301,Mark Wahlberg(I),Mark Wahlberg,6/5/71,"Dorchester, Boston, Massachusetts, USA","['The Fighter', 'The Departed', 'Boogie Nights', 'Ted']",21,71,https://www.imdb.com/name/nm0000242/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000242/awards?ref_=nm_ql_2
302,Matthew Perry(I),Matthew Perry,8/19/69,"Williamstown, Massachusetts, USA","['Friends', 'Studio 60 on the Sunset Strip', 'The Whole Nine Yards', 'Fools Rush In']",5,28,https://www.imdb.com/name/nm0001612/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0001612/awards?ref_=nm_ql_2
303,Jordan Nagai,Jordan Nagai,2/5/00,"Los Angeles, California, USA","['Up', 'The Simpsons', 'Up', '24th Annual Genesis Awards']",1,0,https://www.imdb.com/name/nm2973712/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2973712/awards?ref_=nm_ql_2
304,Johnny Depp,Johnny Depp,6/9/63,"Owensboro, Kentucky, USA","['Pirates of the Caribbean: The Curse of the Black Pearl', 'Sweeney Todd: The Demon Barber of Fleet Street', ""Pirates of the Caribbean: At World's End"", ""Pirates of the Caribbean: Dead Man's Chest""]",75,145,https://www.imdb.com/name/nm0000136/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000136/awards?ref_=nm_ql_2
305,Peter Sarsgaard,Peter Sarsgaard,3/7/71,"Belleville, Illinois, USA","['Shattered Glass', 'Garden State', 'Kinsey', 'An Education']",14,34,https://www.imdb.com/name/nm0765597/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0765597/awards?ref_=nm_ql_2
306,David James(XLII),David James,NA,NA,"['District 9', 'The Salvation', 'Sew the Winter to My Skin', 'Kidnap and Ransom']",NA,NA,https://www.imdb.com/name/nm3107870/?ref_=adv_li_st_1,https://www.imdb.com/name/nm3107870/awards?ref_=nm_ql_2
307,Sarah Polley(I),Sarah Polley,1/8/79,"Toronto, Ontario, Canada","['The Sweet Hereafter', 'My Life Without Me', 'Dawn of the Dead', 'Go']",52,74,https://www.imdb.com/name/nm0001631/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0001631/awards?ref_=nm_ql_2
308,Kevin Spacey,Kevin Spacey,7/26/59,"South Orange, New Jersey, USA","['The Usual Suspects', 'Se7en', 'L.A. Confidential', 'American Beauty']",57,86,https://www.imdb.com/name/nm0000228/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000228/awards?ref_=nm_ql_2
309,Paz de la Huerta,Paz de la Huerta,9/3/84,"New York City, New York, USA","['Enter the Void', 'A Walk to Remember', 'The Cider House Rules', 'Choke']",1,0,https://www.imdb.com/name/nm0209289/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0209289/awards?ref_=nm_ql_2
310,Brian Kotzur,Brian Kotzur,NA,NA,"['Beauty Is Embarrassing', 'Trash Humpers', 'Septien', 'Act Da Fool']",NA,NA,https://www.imdb.com/name/nm2555547/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2555547/awards?ref_=nm_ql_2
311,Malin Akerman,Malin Akerman,5/12/78,"Stockholm, Stockholms län, Sweden","['Watchmen', 'The Final Girls', 'Happythankyoumoreplease', '27 Dresses']",1,5,https://www.imdb.com/name/nm0015196/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0015196/awards?ref_=nm_ql_2
312,Sam Worthington,Sam Worthington,8/2/76,"Godalming, Surrey, England, UK","['Avatar', 'Terminator Salvation', 'Clash of the Titans', 'Man on a Ledge']",6,17,https://www.imdb.com/name/nm0941777/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0941777/awards?ref_=nm_ql_2
313,Joseph Gordon-Levitt,Joseph Gordon-Levitt,2/17/81,"Los Angeles, California, USA","['Inception', 'Looper', 'Don Jon', '50/50']",21,65,https://www.imdb.com/name/nm0330687/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0330687/awards?ref_=nm_ql_2
314,Ryan Reynolds(I),Ryan Reynolds,10/23/76,"Vancouver, British Columbia, Canada","['Deadpool', 'Deadpool 2', 'X-Men Origins: Wolverine', 'Buried']",17,47,https://www.imdb.com/name/nm0005351/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0005351/awards?ref_=nm_ql_2
315,Charlotte Gainsbourg,Charlotte Gainsbourg,7/21/71,"London, England, UK","['Antichrist', 'Melancholia', 'Nymphomaniac: Vol. II', 'Nymphomaniac: Vol. I']",14,33,https://www.imdb.com/name/nm0001250/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0001250/awards?ref_=nm_ql_2
316,Vera Farmiga,Vera Farmiga,8/6/73,"Clifton, New Jersey, USA","['Up in the Air', 'The Departed', 'Orphan', 'Bates Motel']",19,77,https://www.imdb.com/name/nm0267812/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0267812/awards?ref_=nm_ql_2
317,Thandie Newton,Thandie Newton,11/6/72,"Westminster, London, England, UK","['Crash', 'Westworld', 'Mission: Impossible II', '2012']",15,33,https://www.imdb.com/name/nm0628601/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0628601/awards?ref_=nm_ql_2
318,Lily Cole,Lily Cole,12/27/87,"Torquay, Devon, England, UK","['Snow White and the Huntsman', 'The Imaginarium of Doctor Parnassus', 'The Moth Diaries', 'Star Wars: Episode VIII - The Last Jedi']",0,1,https://www.imdb.com/name/nm2178959/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2178959/awards?ref_=nm_ql_2
319,Ashley C. Williams,Ashley C. Williams,1/24/84,"Boston, Massachusetts, USA","['Albanian Gangster', 'Julia', 'The Human Centipede (First Sequence)', 'Albanian Gangster II: Illyrian Blood']",6,2,https://www.imdb.com/name/nm2280521/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2280521/awards?ref_=nm_ql_2
320,Teri Hatcher,Teri Hatcher,12/8/64,"Palo Alto, California, USA","['Tomorrow Never Dies', 'Desperate Housewives', 'Lois & Clark: The New Adventures of Superman', 'Coraline']",6,19,https://www.imdb.com/name/nm0000159/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000159/awards?ref_=nm_ql_2
321,Soledad Villamil,Soledad Villamil,6/19/69,"La Plata, Buenos Aires, Argentina","['The Secret in Their Eyes', 'El mismo amor, la misma lluvia', 'No sos vos, soy yo', 'Vulnerables']",9,8,https://www.imdb.com/name/nm0897845/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0897845/awards?ref_=nm_ql_2
322,Channing Tatum,Channing Tatum,4/26/80,"Cullman, Alabama, USA","['21 Jump Street', 'White House Down', '22 Jump Street', 'Foxcatcher']",21,57,https://www.imdb.com/name/nm1475594/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1475594/awards?ref_=nm_ql_2
323,Madhavan(I),Madhavan,6/1/70,"Jamshedpur, Bihar, India","['Vikram Vedha', '3 Idiots', 'Breathe', 'Saala Khadoos']",9,9,https://www.imdb.com/name/nm0534856/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0534856/awards?ref_=nm_ql_2
324,Amanda Seyfried(I),Amanda Seyfried,12/3/85,"Allentown, Pennsylvania, USA","['Les Misérables', 'Mean Girls', 'Mamma Mia!', 'Dear John']",7,18,https://www.imdb.com/name/nm1086543/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1086543/awards?ref_=nm_ql_2
325,Paul Walker(I)(1973_2013),Paul Walker,9/12/73,"Glendale, California, USA","['The Fast and the Furious', 'Furious 7', 'Running Scared', 'Fast & Furious']",7,11,https://www.imdb.com/name/nm0908094/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0908094/awards?ref_=nm_ql_2
326,Gerard Butler(I),Gerard Butler,11/13/69,"Paisley, Scotland, UK","['The Phantom of the Opera', '300', 'Law Abiding Citizen', 'The Bounty Hunter']",4,15,https://www.imdb.com/name/nm0124930/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0124930/awards?ref_=nm_ql_2
327,Michele Valley,Michele Valley,NA,NA,"['Dogtooth', 'Singapore sling: O anthropos pou agapise ena ptoma', 'Pretty Smart', 'Morning Patrol']",NA,NA,https://www.imdb.com/name/nm0885091/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0885091/awards?ref_=nm_ql_2
328,Ewan McGregor,Ewan McGregor,3/31/71,"Perth, Perthshire, Scotland, UK","['Moulin Rouge!', 'Trainspotting', 'August: Osage County', 'T2 Trainspotting']",29,47,https://www.imdb.com/name/nm0000191/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000191/awards?ref_=nm_ql_2
329,Keith David(I),Keith David,6/4/56,"Harlem, New York City, New York, USA","['The Princess and the Frog', 'They Live', 'Armageddon', 'The Thing']",6,16,https://www.imdb.com/name/nm0202966/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0202966/awards?ref_=nm_ql_2
330,Mo'Nique,Mo'Nique,12/11/67,"Woodlawn, Maryland, USA","['Precious', 'Domino', 'The Parkers', 'Bessie']",57,25,https://www.imdb.com/name/nm0594898/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0594898/awards?ref_=nm_ql_2
331,Penélope Cruz,Penélope Cruz,4/28/74,"Alcobendas, Madrid, Spain","['Vicky Cristina Barcelona', 'Vanilla Sky', 'Pirates of the Caribbean: On Stranger Tides', 'Volver']",55,115,https://www.imdb.com/name/nm0004851/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0004851/awards?ref_=nm_ql_2
332,Natalie Portman,Natalie Portman,6/9/81,"Jerusalem, Israel","['Black Swan', 'V for Vendetta', 'Closer', 'Léon: The Professional']",86,132,https://www.imdb.com/name/nm0000204/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000204/awards?ref_=nm_ql_2
333,Noomi Rapace,Noomi Rapace,12/28/79,"Hudiksvall, Gävleborgs län, Sweden","['The Girl with the Dragon Tattoo', 'Prometheus', 'Sherlock Holmes: A Game of Shadows', 'What Happened to Monday']",13,19,https://www.imdb.com/name/nm0636426/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0636426/awards?ref_=nm_ql_2
334,Bill Hader,Bill Hader,6/7/78,"Tulsa, Oklahoma, USA","['The Skeleton Twins', 'Inside Out', 'Trainwreck', 'Barry']",12,37,https://www.imdb.com/name/nm0352778/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0352778/awards?ref_=nm_ql_2
335,Megan Fox(I),Megan Fox,5/16/86,"Rockwood, Tennessee, USA","['Transformers', 'Teenage Mutant Ninja Turtles', ""Jennifer's Body"", 'Teenage Mutant Ninja Turtles: Out of the Shadows']",7,21,https://www.imdb.com/name/nm1083271/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1083271/awards?ref_=nm_ql_2
336,Idris Elba,Idris Elba,9/6/72,"Hackney, London, England, UK","['Beasts of No Nation', 'Thor: Ragnarok', 'The Losers', 'Star Trek Beyond']",26,84,https://www.imdb.com/name/nm0252961/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0252961/awards?ref_=nm_ql_2
337,Meryl Streep,Meryl Streep,6/22/49,"Summit, New Jersey, USA","['Out of Africa', 'The Devil Wears Prada', 'Doubt', ""Sophie's Choice""]",175,357,https://www.imdb.com/name/nm0000658/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000658/awards?ref_=nm_ql_2
338,Zachary Levi,Zachary Levi,9/29/80,"Lake Charles, Louisiana, USA","['Chuck', 'Tangled', 'Shazam!', 'Thor: The Dark World']",3,14,https://www.imdb.com/name/nm1157048/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1157048/awards?ref_=nm_ql_2
339,Joshua McIvor(II),Joshua McIvor,NA,NA,NA,NA,NA,https://www.imdb.com/name/nm3620280/?ref_=adv_li_st_1,https://www.imdb.com/name/nm3620280/awards?ref_=nm_ql_2
340,Chandler Canterbury,Chandler Canterbury,12/15/98,"Houston, Texas, USA","['Knowing', 'After.Life', 'The Host', 'Repo Men']",1,5,https://www.imdb.com/name/nm2425105/?ref_=adv_li_st_1,https://www.imdb.com/name/nm2425105/awards?ref_=nm_ql_2
341,Monica Potter,Monica Potter,6/30/71,"Cleveland, Ohio, USA","['The Last House on the Left', 'Patch Adams', 'Saw', 'Along Came a Spider']",1,8,https://www.imdb.com/name/nm0005321/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0005321/awards?ref_=nm_ql_2
342,Michael Sheen(I),Michael Sheen,2/5/69,"Newport, Gwent, Wales, UK","['Masters of Sex', 'Frost/Nixon', 'The Queen', 'Midnight in Paris']",14,32,https://www.imdb.com/name/nm0790688/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0790688/awards?ref_=nm_ql_2
343,Michael C. Hall(I),Michael C. Hall,2/1/71,"Raleigh, North Carolina, USA","['Dexter', 'Gamer', 'Six Feet Under', 'Paycheck']",13,57,https://www.imdb.com/name/nm0355910/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0355910/awards?ref_=nm_ql_2
344,Colin Firth,Colin Firth,9/10/60,"Grayshott, Hampshire, England, UK","['A Single Man', ""The King's Speech"", ""Bridget Jones's Diary"", 'Kingsman: The Secret Service']",68,57,https://www.imdb.com/name/nm0000147/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000147/awards?ref_=nm_ql_2
345,Rachel McAdams,Rachel McAdams,11/17/78,"London, Ontario, Canada","['The Notebook', 'Mean Girls', 'Red Eye', 'The Vow']",22,55,https://www.imdb.com/name/nm1046097/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1046097/awards?ref_=nm_ql_2
346,Richard Kind,Richard Kind,11/22/56,"Trenton, New Jersey, USA","['Inside Out', 'Argo', 'A Serious Man', ""A Bug's Life""]",6,8,https://www.imdb.com/name/nm0454236/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0454236/awards?ref_=nm_ql_2
347,James Marsters,James Marsters,8/20/62,"Greenville, Plumas County, California, USA","['Buffy the Vampire Slayer', 'Dragonball: Evolution', 'P.S. I Love You', 'Angel']",8,13,https://www.imdb.com/name/nm0551346/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0551346/awards?ref_=nm_ql_2
348,Ben Foster(I),Ben Foster,10/29/80,"Boston, Massachusetts, USA","['Hell or High Water', '3:10 to Yuma', 'The Messenger', 'Leave No Trace']",8,40,https://www.imdb.com/name/nm0004936/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0004936/awards?ref_=nm_ql_2
349,Steve Zahn,Steve Zahn,11/13/67,"Marshall, Minnesota, USA","['War for the Planet of the Apes', 'Sahara', 'Rescue Dawn', 'A Perfect Getaway']",2,10,https://www.imdb.com/name/nm0001872/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0001872/awards?ref_=nm_ql_2
350,Owen Wilson(I),Owen Wilson,11/18/68,"Dallas, Texas, USA","['The Royal Tenenbaums', 'Wedding Crashers', 'Bottle Rocket', 'Midnight in Paris']",14,50,https://www.imdb.com/name/nm0005562/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0005562/awards?ref_=nm_ql_2
351,Julianne Moore,Julianne Moore,12/3/60,"Fayetteville, North Carolina, USA","['The Hours', 'Still Alice', 'The Kids Are All Right', 'Maps to the Stars']",113,155,https://www.imdb.com/name/nm0000194/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000194/awards?ref_=nm_ql_2
352,Justin Long(I),Justin Long,6/2/78,"Fairfield, Connecticut, USA","['Live Free or Die Hard', 'Accepted', 'Jeepers Creepers', 'Tusk']",3,8,https://www.imdb.com/name/nm0519043/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0519043/awards?ref_=nm_ql_2
353,Arielle Kebbel,Arielle Kebbel,2/19/85,"Winter Park, Florida, USA","['The Grudge 2', 'The Uninvited', 'John Tucker Must Die', 'Think Like a Man']",0,1,https://www.imdb.com/name/nm0444223/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0444223/awards?ref_=nm_ql_2
354,Gary Oldman,Gary Oldman,3/21/58,"New Cross, London, England, UK","['Tinker Tailor Soldier Spy', 'Darkest Hour', 'The Dark Knight', 'Sid and Nancy']",59,75,https://www.imdb.com/name/nm0000198/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000198/awards?ref_=nm_ql_2
355,Jennifer Garner(I),Jennifer Garner,4/17/72,"Houston, Texas, USA","['Alias', '13 Going on 30', 'Daredevil', 'Juno']",12,55,https://www.imdb.com/name/nm0004950/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0004950/awards?ref_=nm_ql_2
356,Rainn Wilson,Rainn Wilson,1/20/66,"Seattle, Washington, USA","['The Office', 'Super', 'My Super Ex-Girlfriend', 'Juno']",7,19,https://www.imdb.com/name/nm0933988/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0933988/awards?ref_=nm_ql_2
326,Dakota Fanning,Dakota Fanning,2/23/94,"Conyers, Georgia, USA","['War of the Worlds', 'I Am Sam', 'Man on Fire', 'Coraline']",17,29,https://www.imdb.com/name/nm0266824/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0266824/awards?ref_=nm_ql_2
327,Norman Reedus,Norman Reedus,1/6/69,"Hollywood, Florida, USA","['The Walking Dead', 'The Boondock Saints', 'Blade II', 'The Boondock Saints II: All Saints Day']",4,5,https://www.imdb.com/name/nm0005342/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0005342/awards?ref_=nm_ql_2
328,Willem Dafoe,Willem Dafoe,7/22/55,"Appleton, Wisconsin, USA","['Spider-Man', 'The Grand Budapest Hotel', 'Shadow of the Vampire', 'Antichrist']",69,80,https://www.imdb.com/name/nm0000353/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000353/awards?ref_=nm_ql_2
329,Marion Cotillard,Marion Cotillard,9/30/75,"Paris, France","['La Vie en Rose', 'Inception', 'Two Days, One Night', 'Rust and Bone']",78,114,https://www.imdb.com/name/nm0182839/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0182839/awards?ref_=nm_ql_2
330,Abigail Breslin(I),Abigail Breslin,4/14/96,"New York City, New York, USA","['Little Miss Sunshine', 'August: Osage County', 'Definitely, Maybe', 'Signs']",25,32,https://www.imdb.com/name/nm1113550/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1113550/awards?ref_=nm_ql_2
331,Carla Gugino,Carla Gugino,8/29/71,"Sarasota, Florida, USA","['Watchmen', ""Gerald's Game"", 'American Gangster', 'San Andreas']",3,9,https://www.imdb.com/name/nm0001303/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0001303/awards?ref_=nm_ql_2
332,Paul Rust,Paul Rust,4/12/81,"Le Mars, Iowa, USA","['Inglourious Basterds', 'I Love You, Beth Cooper', 'Love', 'Arrested Development']",0,2,https://www.imdb.com/name/nm1770256/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1770256/awards?ref_=nm_ql_2
333,Jaime King,Jaime King,4/23/79,"Omaha, Nebraska, USA","['My Bloody Valentine', 'Sin City', 'White Chicks', 'Pearl Harbor']",1,4,https://www.imdb.com/name/nm0454809/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0454809/awards?ref_=nm_ql_2
334,Maarten Stevenson,Maarten Stevenson,NA,NA,"['Valhalla Rising', 'Case Histories', 'Dirt Road to Lafayette', 'Waterloo Road']",NA,NA,https://www.imdb.com/name/nm3063003/?ref_=adv_li_st_1,https://www.imdb.com/name/nm3063003/awards?ref_=nm_ql_2
335,Kristen Stewart(I),Kristen Stewart,4/9/90,"Los Angeles, California, USA","['Snow White and the Huntsman', 'The Twilight Saga: Breaking Dawn - Part 2', 'The Twilight Saga: Breaking Dawn - Part 1', 'The Twilight Saga: New Moon']",48,67,https://www.imdb.com/name/nm0829576/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0829576/awards?ref_=nm_ql_2
336,Steve Martin(I),Steve Martin,8/14/45,"Waco, Texas, USA","['Roxanne', 'L.A. Story', 'The Jerk', 'Bowfinger']",23,43,https://www.imdb.com/name/nm0000188/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000188/awards?ref_=nm_ql_2
337,Radha Mitchell,Radha Mitchell,11/12/73,"Melbourne, Victoria, Australia","['Silent Hill', 'Man on Fire', 'Rogue', 'Pitch Black']",22,14,https://www.imdb.com/name/nm0593664/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0593664/awards?ref_=nm_ql_2
338,Danny McBride(IV),Danny McBride,12/29/76,"Statesboro, Georgia, USA","['Pineapple Express', 'Vice Principals', 'Up in the Air', 'This Is the End']",2,16,https://www.imdb.com/name/nm1144419/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1144419/awards?ref_=nm_ql_2
339,Tony Hale(I),Tony Hale,9/30/70,"West Point, New York, USA","['Arrested Development', 'Veep', 'American Ultra', 'Stranger Than Fiction']",7,23,https://www.imdb.com/name/nm0355024/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0355024/awards?ref_=nm_ql_2
340,Michael Cera,Michael Cera,6/7/88,"Brampton, Ontario, Canada","['Superbad', 'Juno', 'Scott Pilgrim vs. the World', ""Nick and Norah's Infinite Playlist""]",7,26,https://www.imdb.com/name/nm0148418/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0148418/awards?ref_=nm_ql_2
341,Alex Descas,Alex Descas,1958-0-0,NA,"['The Limits of Control', 'Coffee and Cigarettes', 'Trouble Every Day', ""S'en fout la mort""]",0,1,https://www.imdb.com/name/nm0220976/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0220976/awards?ref_=nm_ql_2
342,Mary Elizabeth Winstead,Mary Elizabeth Winstead,11/28/84,"Rocky Mount, North Carolina, USA","['10 Cloverfield Lane', 'Scott Pilgrim vs. the World', 'Smashed', 'Live Free or Die Hard']",4,19,https://www.imdb.com/name/nm0935541/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0935541/awards?ref_=nm_ql_2
343,Dennis Quaid,Dennis Quaid,4/9/54,"Houston, Texas, USA","['The Day After Tomorrow', 'Far from Heaven', 'Frequency', 'Innerspace']",11,27,https://www.imdb.com/name/nm0000598/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000598/awards?ref_=nm_ql_2
344,Mickey Rourke,Mickey Rourke,9/16/52,"Schenectady, New York, USA","['The Wrestler', 'Sin City', 'Angel Heart', 'Iron Man 2']",38,38,https://www.imdb.com/name/nm0000620/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000620/awards?ref_=nm_ql_2
345,Jason Statham,Jason Statham,7/26/67,"Shirebrook, Derbyshire, England, UK","['Crank', 'Furious 7', 'Spy', 'The Meg']",1,3,https://www.imdb.com/name/nm0005458/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0005458/awards?ref_=nm_ql_2
346,Sergej Trifunovic,Sergej Trifunovic,9/2/72,"Mostar, Bosnia and Herzegovina, Yugoslavia","['Srpski film', 'Next', 'War, Inc.', 'The Whistleblower']",NA,NA,https://www.imdb.com/name/nm0872729/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0872729/awards?ref_=nm_ql_2
347,Andrew Garfield(I),Andrew Garfield,8/20/83,"Los Angeles, California, USA","['The Social Network', 'Hacksaw Ridge', 'The Amazing Spider-Man 2', 'The Amazing Spider-Man']",18,81,https://www.imdb.com/name/nm1940449/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1940449/awards?ref_=nm_ql_2
348,Nicolas Cage,Nicolas Cage,1/7/64,"Long Beach, California, USA","['Face/Off', 'Leaving Las Vegas', 'The Rock', 'Next']",46,67,https://www.imdb.com/name/nm0000115/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000115/awards?ref_=nm_ql_2
349,Natasha Yarovenko,Natasha Yarovenko,7/23/79,"Odessa, Ukrainian SSR, USSR [now Ukraine]","['Room in Rome', 'Aftershock', 'Diary of a Nymphomaniac', 'Las aventuras del capitán Alatriste']",1,1,https://www.imdb.com/name/nm1388067/?ref_=adv_li_st_1,https://www.imdb.com/name/nm1388067/awards?ref_=nm_ql_2
350,Amanda Bynes,Amanda Bynes,4/3/86,"Thousand Oaks, California, USA","['Hairspray', ""She's the Man"", 'What a Girl Wants', 'Easy A']",9,19,https://www.imdb.com/name/nm0004789/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0004789/awards?ref_=nm_ql_2
351,Mélissa Désormeaux-Poulin,Mélissa Désormeaux-Poulin,NA,NA,"['Incendies', 'Gabrielle', 'Omert_', '_ vos marques, party!']",1,2,https://www.imdb.com/name/nm0246386/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0246386/awards?ref_=nm_ql_2
352,Michelle Williams(I),Michelle Williams,9/9/80,"Kalispell, Montana, USA","['Blue Valentine', 'My Week with Marilyn', 'Take This Waltz', 'Manchester by the Sea']",41,135,https://www.imdb.com/name/nm0931329/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0931329/awards?ref_=nm_ql_2
353,Tim Allen(I),Tim Allen,6/13/53,"Denver, Colorado, USA","['Toy Story', 'Home Improvement', 'Galaxy Quest', 'The Santa Clause']",23,34,https://www.imdb.com/name/nm0000741/?ref_=adv_li_st_1,https://www.imdb.com/name/nm0000741/awards?ref_=nm_ql_2
